t;beat
0.020;1
0.300;2
0.570;3
0.870;1
1.140;2
1.410;3
1.690;1
1.980;2
2.260;3
2.520;1
2.790;2
3.060;3
3.370;1
3.650;2
3.920;3
4.220;1
4.510;2
4.780;3
5.060;1
5.340;2
5.600;3
5.900;1
6.190;2
6.470;3
6.760;1
7.050;2
7.310;3
7.600;1
7.870;2
8.150;3
8.440;1
8.720;2
8.970;3
9.260;1
9.530;2
9.800;3
10.090;1
10.360;2
10.610;3
10.880;1
11.160;2
11.440;3
11.720;1
11.980;2
12.260;3
12.550;1
12.820;2
13.080;3
13.350;1
13.600;2
13.910;3
14.230;1
14.510;2
14.780;3
15.090;1
15.410;2
15.660;3
15.930;1
16.240;2
16.510;3
16.810;1
17.050;2
17.350;3
17.640;1
17.930;2
18.200;3
18.480;1
18.770;2
19.050;3
19.330;1
19.600;2
19.860;3
20.150;1
20.430;2
20.700;3
21.000;1
21.280;2
21.560;3
21.840;1
22.130;2
22.400;3
22.670;1
22.970;2
23.230;3
23.520;1
23.820;2
24.070;3
24.310;1
24.580;2
24.850;3
25.100;1
25.390;2
25.660;3
25.900;1
26.170;2
26.430;3
26.690;1
26.970;2
27.240;3
27.530;1
27.830;2
28.110;3
28.400;1
28.700;2
28.980;3
29.260;1
29.550;2
29.870;3
30.170;1
30.490;2
30.870;3
31.200;1
31.560;2
31.840;3
32.130;1
32.410;2
32.700;3
33.000;1
33.290;2
33.550;3
33.820;1
34.120;2
34.410;3
34.690;1
35.000;2
35.260;3
35.550;1
35.820;2
36.090;3
36.400;1
36.680;2
36.960;3
37.250;1
37.520;2
37.800;3
38.080;1
38.380;2
38.660;3
38.950;1
39.240;2
39.500;3
39.790;1
40.080;2
40.390;3
40.740;1
41.050;2
41.350;3
41.690;1
42.110;2
42.410;3
42.740;1
43.090;2
43.640;3
44.540;1
45.400;2
46.280;3
