t;beat
0.120;1
0.535;2
0.950;3
1.370;4
1.790;1
2.215;2
2.640;3
3.050;4
3.460;1
3.860;2
4.260;3
4.630;4
5.000;1
5.410;2
5.820;3
6.210;4
6.600;1
6.995;2
7.390;3
7.790;4
8.190;1
8.565;2
8.940;3
9.330;4
9.720;1
10.110;2
10.500;3
10.890;4
11.280;1
11.670;2
12.060;3
12.450;4
12.840;1
13.235;2
13.630;3
14.025;4
14.420;1
14.800;2
15.180;3
15.565;4
15.950;1
16.330;2
16.710;3
17.095;4
17.480;1
17.860;2
18.240;3
18.620;4
19.000;1
19.380;2
19.760;3
20.140;4
20.520;1
20.905;2
21.290;3
21.680;4
22.070;1
22.440;2
22.810;3
23.185;4
23.560;1
23.950;2
24.340;3
24.735;4
25.130;1
25.515;2
25.900;3
26.285;4
26.670;1
27.055;2
27.440;3
27.830;4
28.220;1
28.595;2
28.970;3
29.350;4
29.730;1
30.115;2
30.500;3
30.885;4
31.270;1
31.655;2
32.040;3
32.425;4
32.810;1
33.195;2
33.580;3
33.965;4
34.350;1
34.735;2
35.120;3
35.505;4
35.890;1
36.275;2
36.660;3
37.045;4
37.430;1
37.810;2
38.190;3
38.570;4
38.950;1
39.330;2
39.710;3
40.095;4
40.480;1
40.865;2
41.250;3
41.635;4
42.020;1
42.405;2
42.790;3
43.175;4
43.560;1
43.940;2
44.320;3
44.705;4
45.090;1
45.475;2
45.860;3
46.250;4
46.640;1
47.015;2
47.390;3
47.770;4
48.150;1
48.530;2
48.910;3
49.295;4
49.680;1
50.055;2
50.430;3
50.810;4
51.190;1
51.580;2
51.970;3
52.360;4
52.750;1
53.125;2
53.500;3
53.880;4
54.260;1
54.650;2
55.040;3
55.430;4
55.820;1
56.185;2
56.550;3
56.915;4
57.280;1
57.670;2
58.060;3
58.445;4
58.830;1
59.205;2
59.580;3
59.950;4
60.320;1
60.695;2
61.070;3
61.450;4
61.830;1
62.200;2
62.570;3
62.940;4
63.310;1
63.695;2
64.080;3
64.470;4
64.860;1
65.235;2
65.610;3
65.990;4
66.370;1
66.740;2
67.110;3
67.480;4
67.850;1
68.240;2
68.630;3
69.020;4
69.410;1
69.785;2
70.160;3
70.540;4
70.920;1
71.295;2
71.670;3
72.040;4
72.410;1
72.790;2
73.170;3
73.545;4
73.920;1
74.300;2
74.680;3
75.060;4
75.440;1
75.805;2
76.170;3
76.540;4
76.910;1
77.280;2
77.650;3
78.015;4
78.380;1
78.760;2
79.140;3
79.515;4
79.890;1
80.260;2
80.630;3
81.010;4
81.390;1
81.760;2
82.130;3
82.500;4
82.870;1
83.260;2
83.650;3
84.040;4
84.430;1
84.810;2
85.190;3
85.570;4
85.950;1
86.325;2
86.700;3
87.075;4
87.450;1
87.835;2
88.220;3
88.605;4
88.990;1
89.360;2
89.730;3
90.105;4
90.480;1
90.855;2
91.230;3
91.605;4
91.980;1
92.355;2
92.730;3
93.110;4
93.490;1
93.870;2
94.250;3
94.630;4
95.010;1
95.390;2
95.770;3
96.155;4
96.540;1
96.910;2
97.280;3
97.650;4
98.020;1
98.405;2
98.790;3
99.180;4
99.570;1
99.945;2
100.320;3
100.695;4
101.070;1
101.445;2
101.820;3
102.200;4
102.580;1
102.955;2
103.330;3
103.710;4
104.090;1
104.475;2
104.860;3
105.250;4
105.640;1
106.020;2
106.400;3
106.780;4
107.160;1
107.530;2
107.900;3
108.270;4
108.640;1
109.025;2
109.410;3
109.795;4
110.180;1
110.570;2
110.960;3
111.335;4
111.710;1
112.080;2
112.450;3
112.820;4
113.190;1
113.570;2
113.950;3
114.315;4
114.680;1
115.045;2
115.410;3
115.780;4
116.150;1
116.520;2
116.890;3
117.265;4
117.640;1
118.010;2
118.380;3
118.755;4
119.130;1
119.505;2
119.880;3
120.255;4
120.630;1
120.995;2
121.360;3
121.730;4
122.100;1
122.495;2
122.890;3
123.285;4
123.680;1
124.060;2
124.440;3
124.805;4
125.170;1
125.555;2
125.940;3
126.330;4
126.720;1
127.085;2
127.450;3
127.820;4
128.190;1
128.575;2
128.960;3
129.335;4
129.710;1
130.090;2
130.470;3
130.845;4
131.220;1
131.590;2
131.960;3
132.330;4
132.700;1
133.075;2
133.450;3
133.830;4
134.210;1
134.605;2
135.000;3
135.375;4
135.750;1
136.105;2
136.460;3
136.830;4
137.200;1
137.575;2
137.950;3
138.325;4
138.700;1
139.095;2
139.490;3
139.885;4
140.280;1
140.625;2
140.970;3
141.355;4
141.740;1
142.100;2
142.460;3
142.825;4
143.190;1
143.565;2
143.940;3
144.320;4
144.700;1
145.070;2
145.440;3
145.815;4
146.190;1
146.575;2
146.960;3
147.345;4
147.730;1
148.105;2
148.480;3
148.885;4
149.290;1
149.625;2
149.960;3
150.335;4
150.710;1
151.075;2
151.440;3
151.810;4
152.180;1
152.550;2
152.920;3
153.285;4
153.650;1
154.035;2
154.420;3
154.810;4
155.200;1
155.570;2
155.940;3
156.310;4
156.680;1
157.080;2
157.480;3
157.870;4
158.260;1
158.630;2
159.000;3
159.375;4
159.750;1
160.130;2
160.510;3
160.875;4
161.240;1
161.615;2
161.990;3
162.370;4
162.750;1
163.115;2
163.480;3
163.850;4
164.220;1
164.595;2
164.970;3
165.345;4
165.720;1
166.095;2
166.470;3
166.835;4
167.200;1
167.580;2
167.960;3
168.345;4
168.730;1
169.095;2
169.460;3
169.820;4
170.180;1
170.570;2
170.960;3
171.355;4
171.750;1
172.125;2
172.500;3
172.875;4
173.250;1
173.630;2
174.010;3
174.390;4
174.770;1
175.150;2
175.530;3
175.910;4
176.290;1
176.665;2
177.040;3
177.420;4
177.800;1
178.190;2
178.580;3
178.975;4
179.370;1
179.730;2
180.090;3
180.435;4
180.780;1
181.165;2
181.550;3
181.935;4
182.320;1
182.690;2
183.060;3
183.430;4
183.800;1
184.185;2
184.570;3
184.955;4
185.340;1
185.715;2
186.090;3
186.470;4
186.850;1
187.235;2
187.620;3
188.005;4
188.390;1
188.770;2
189.150;3
189.535;4
189.920;1
190.300;2
190.680;3
191.065;4
191.450;1
191.805;2
192.160;3
192.535;4
192.910;1
193.295;2
193.680;3
194.065;4
194.450;1
194.825;2
195.200;3
195.575;4
195.950;1
196.335;2
196.720;3
197.080;4
197.440;1
197.830;2
198.220;3
198.610;4
199.000;1
199.370;2
199.740;3
200.105;4
200.470;1
200.860;2
201.250;3
201.630;4
202.010;1
202.395;2
202.780;3
203.155;4
203.530;1
203.890;2
204.250;3
204.595;4
204.940;1
205.320;2
205.700;3
206.085;4
206.470;1
206.840;2
207.210;3
207.580;4
207.950;1
208.325;2
208.700;3
209.075;4
209.450;1
209.830;2
210.210;3
210.590;4
210.970;1
211.355;2
211.740;3
212.130;4
212.520;1
212.885;2
213.250;3
213.615;4
213.980;1
214.370;2
214.760;3
215.155;4
215.550;1
215.925;2
216.300;3
216.675;4
217.050;1
217.420;2
217.790;3
218.165;4
218.540;1
218.920;2
219.300;3
219.685;4
220.070;1
220.430;2
220.790;3
221.155;4
221.520;1
221.895;2
222.270;3
222.645;4
223.020;1
223.380;2
223.740;3
224.105;4
224.470;1
224.840;2
225.210;3
225.585;4
225.960;1
226.325;2
226.690;3
227.055;4
227.420;1
227.790;2
228.160;3
228.535;4
228.910;1
229.270;2
229.630;3
229.990;4
230.350;1
230.720;2
231.090;3
231.460;4
231.830;1
232.190;2
232.550;3
232.915;4
233.280;1
233.645;2
234.010;3
234.375;4
234.740;1
235.105;2
235.470;3
235.840;4
236.210;1
236.580;2
236.950;3
237.310;4
237.670;1
238.045;2
238.420;3
238.795;4
239.170;1
