t;beat
0.078;1
0.376;2
0.676;3
0.976;4
1.276;1
1.571;2
1.873;3
2.173;4
2.471;1
2.771;2
3.076;3
3.371;4
3.676;1
3.976;2
4.276;3
4.573;4
4.873;1
5.176;2
5.476;3
5.773;4
6.068;1
6.368;2
6.676;3
6.973;4
7.273;1
7.568;2
7.868;3
8.168;4
8.468;1
8.768;2
9.068;3
9.368;4
9.668;1
9.968;2
10.268;3
10.568;4
10.868;1
11.168;2
11.468;3
11.768;4
12.068;1
12.368;2
12.668;3
12.968;4
13.268;1
13.568;2
13.868;3
14.168;4
14.468;1
14.768;2
15.068;3
15.368;4
15.668;1
15.968;2
16.268;3
16.568;4
16.868;1
17.168;2
17.468;3
17.768;4
18.068;1
18.368;2
18.668;3
18.968;4
19.268;1
19.568;2
19.868;3
20.168;4
20.468;1
20.768;2
21.068;3
21.368;4
21.668;1
21.968;2
22.268;3
22.568;4
22.868;1
23.168;2
23.468;3
23.768;4
24.068;1
24.368;2
24.668;3
24.968;4
25.268;1
25.568;2
25.868;3
26.168;4
26.468;1
26.768;2
27.068;3
27.368;4
27.668;1
27.968;2
28.268;3
28.568;4
28.868;1
29.168;2
29.468;3
29.768;4
30.068;1
30.368;2
30.668;3
30.968;4
31.268;1
31.568;2
31.868;3
32.168;4
32.468;1
32.768;2
33.068;3
33.368;4
33.668;1
33.968;2
34.268;3
34.568;4
34.868;1
35.168;2
35.468;3
35.768;4
36.068;1
36.368;2
36.668;3
36.968;4
37.268;1
37.568;2
37.868;3
38.168;4
38.468;1
38.768;2
39.068;3
39.368;4
39.668;1
39.968;2
40.268;3
40.568;4
40.868;1
41.168;2
41.468;3
41.768;4
42.068;1
42.368;2
42.668;3
42.968;4
43.268;1
43.568;2
43.868;3
44.168;4
44.468;1
44.768;2
45.068;3
45.368;4
45.668;1
45.968;2
46.268;3
46.568;4
46.868;1
47.168;2
47.468;3
47.768;4
48.068;1
48.368;2
48.668;3
48.968;4
49.268;1
49.568;2
49.868;3
50.168;4
50.468;1
50.768;2
51.068;3
51.368;4
51.670;1
51.963;2
52.208;3
52.570;4
52.869;1
53.168;2
53.476;3
