RWCID;MIDITrackNo;MIDITrackName;SemitoneOffset;comment
RWC_P001;5;MELODY;24;
RWC_P002;4;MELODY;0;
RWC_P003;4;MELODY;12;from 17 to 35 seconds one octave lower
RWC_P004;4;MELODY;12;
RWC_P005;4;MELODY;12;
RWC_P006;6;MELODY;12;
RWC_P007;4;MELODY;0;
RWC_P008;4;MELODY;12;
RWC_P009;4;MELODY;12;
RWC_P010;5;MELO;12;
RWC_P011;4;MELODY;12;
RWC_P012;4;MELODY;12;
RWC_P013;4;MELODY;12;
RWC_P014;4;MELODY;0;
RWC_P015;3;MELO;12;
RWC_P016;5;MELODY;12;
RWC_P017;4;MELODY;12;
RWC_P018;4;MELODY;12;
RWC_P019;5;MELODY;12;
RWC_P020;4;MELODY;12;
RWC_P021;4;MELODY;12;
RWC_P022;4;MELODY;12;
RWC_P023;4;MELO;12;
RWC_P024;4;MELO;12;
RWC_P025;4;MELODY;12;
RWC_P026;3;MELODY;12;in chorus part, the midi is the back vocals or some instrument, instead of the  main vocal melody
RWC_P027;4;MELODY;12;
RWC_P028;5;MELODY;12;
RWC_P029;4;MELO;12;
RWC_P030;4;MELODY;24;
RWC_P031;4;Melo;12;some octave inconsistencies around the one minute mark
RWC_P031;3;Sub Vocal;12;Not the main melody track
RWC_P032;5;MELODY;12;
RWC_P033;4;MELO;12;
RWC_P034;4;MELODY 1;12;
RWC_P035;4;MELO;12;
RWC_P036;4;MELODY 1;12;
RWC_P037;4;MELODY 1;0;
RWC_P038;4;MELO;12;
RWC_P039;5;MELODY;0;
RWC_P040;4;MELODY;12;
RWC_P041;4;MELO;12;
RWC_P042;4;MELODY;0;
RWC_P043;4;MELODY;12;
RWC_P044;4;MELODY;12;
RWC_P045;3;melody;12;
RWC_P046;4;Melody;12;
RWC_P047;4;MELODY;12;
RWC_P048;4;MELO;12;
RWC_P049;4;Melody;12;
RWC_P050;4;MELODY;0;
RWC_P051;4;MELODY;12;
RWC_P052;4;MELODY;12;
RWC_P053;4;MELODY;0;
RWC_P054;4;MELODY;0;
RWC_P055;4;MELODY;12;
RWC_P056;4;Melo;12;
RWC_P057;4;Melody;12;
RWC_P058;3;MELODY;12;
RWC_P059;3;MELODY;12;
RWC_P060;4;Melo;12;
RWC_P061;4;MELODY;12;
RWC_P062;4;MELO;0;
RWC_P063;4;VOCAL;12;
RWC_P064;4;MELODY;12;
RWC_P065;4;MELO;12;
RWC_P066;4;Vocal.1;12;first of two singers, correct global offset
RWC_P066;6;Vocal.2;12;second of two singers, correct global offset
RWC_P067;4;Melody;12;
RWC_P068;4;MELO;12;
RWC_P069;4;MELODY;0;
RWC_P070;4;MELODY;12;
RWC_P071;4;MELODY;12;
RWC_P072;3;Melo;12;
RWC_P073;4;Melo;12;
RWC_P073;3;Sub Melo;12;Not the main vocals
RWC_P074;3;Melo;12;
RWC_P075;3;MELODY;0;
RWC_P076;2;Melo;12;
RWC_P077;3;MELODY;0;
RWC_P078;4;Melo;12;
RWC_P079;2;MELO;12;
RWC_P080;2;MELODY;12;
