t;beat
0.030;2
0.510;3
0.990;4
1.890;5
2.800;6
3.710;7
4.620;8
5.480;1
5.990;2
6.450;3
6.900;4
7.430;5
8.130;6
8.830;7
9.530;8
10.170;9
10.770;1
11.320;2
11.760;3
12.200;4
12.830;5
13.460;6
14.080;7
14.700;8
15.350;9
15.990;1
16.550;2
17.020;3
17.490;4
18.040;5
18.580;6
19.100;7
19.640;8
20.170;9
20.700;1
21.290;2
21.810;3
22.230;4
22.620;5
22.990;6
23.360;7
23.780;8
24.150;9
24.530;1
24.890;2
25.310;3
25.770;4
26.270;5
26.870;6
27.480;7
28.130;8
28.730;9
29.320;1
29.870;2
30.380;3
30.810;4
31.210;5
31.560;6
31.920;7
32.300;8
32.700;9
33.100;1
33.520;2
33.940;3
34.440;4
35.010;5
35.580;6
36.180;7
37.060;8
37.930;9
38.720;1
39.150;2
39.560;3
40.040;4
40.600;5
41.150;6
41.680;7
42.310;8
42.910;9
43.510;1
44.050;2
44.530;3
45.050;4
45.630;5
46.190;6
46.760;7
47.330;8
47.900;9
48.470;1
48.910;2
49.320;3
49.820;4
50.350;5
50.870;6
51.400;7
52.010;8
52.610;9
53.210;1
53.800;2
54.300;3
54.800;4
55.380;5
55.960;6
56.560;7
57.180;8
57.790;9
58.430;1
58.890;2
59.320;3
59.880;4
60.630;5
61.380;6
62.090;7
62.800;8
63.530;9
64.310;1
64.970;2
65.460;3
65.930;4
66.630;5
67.330;6
68.230;7
69.280;8
70.320;9
71.420;1
72.420;2
73.520;3
74.600;4
75.590;5
76.190;6
76.670;7
77.150;8
77.570;9
77.930;1
78.300;2
78.640;3
78.990;4
79.530;5
80.110;6
80.690;7
81.540;8
82.440;9
83.300;1
84.330;2
85.230;3
86.050;4
86.880;5
87.390;6
87.980;7
88.450;8
88.830;9
89.150;1
89.500;2
89.800;3
90.120;4
90.590;5
91.120;6
91.780;7
92.430;8
93.120;9
93.810;1
94.360;2
94.920;3
95.460;4
95.920;5
96.370;6
96.830;7
97.390;8
97.950;9
98.490;1
99.140;2
99.670;3
100.100;4
100.480;5
100.840;6
101.240;7
101.810;8
102.410;9
103.000;1
103.490;2
103.980;3
104.450;4
104.940;5
105.440;6
105.940;7
106.470;8
107.000;9
107.550;1
108.110;2
108.620;3
109.040;4
109.400;5
109.750;6
110.150;7
110.670;8
111.210;9
111.740;1
112.200;2
112.650;3
113.100;4
113.610;5
114.130;6
114.620;7
115.190;8
115.760;9
116.310;1
116.900;2
117.400;3
117.820;4
118.200;5
118.560;6
118.940;7
119.340;8
119.830;9
120.480;1
120.980;2
121.470;3
121.950;4
122.450;5
122.940;6
123.430;7
