t;beat
0.050;1
0.455;2
0.860;3
1.265;4
1.670;1
2.075;2
2.480;3
2.885;4
3.290;1
3.695;2
4.100;3
4.505;4
4.910;1
5.315;2
5.720;3
6.125;4
6.530;1
6.935;2
7.340;3
7.750;4
8.160;1
8.580;2
9.000;3
9.395;4
9.790;1
10.185;2
10.580;3
10.975;4
11.370;1
11.780;2
12.190;3
12.590;4
12.990;1
13.405;2
13.820;3
14.230;4
14.640;1
15.050;2
15.460;3
15.870;4
16.280;1
16.680;2
17.080;3
17.485;4
17.890;1
18.325;2
18.760;3
19.195;4
19.630;1
20.050;2
20.470;3
20.890;4
21.310;1
21.715;2
22.120;3
22.545;4
22.970;1
23.380;2
23.790;3
24.205;4
24.620;1
25.030;2
25.440;3
25.860;4
26.280;1
26.685;2
27.090;3
27.495;4
27.900;1
28.305;2
28.710;3
29.120;4
29.530;1
29.925;2
30.320;3
30.720;4
31.120;1
31.575;2
32.030;3
32.450;4
32.870;1
33.290;2
33.710;3
34.135;4
34.560;1
34.975;2
35.390;3
35.805;4
36.220;1
36.625;2
37.030;3
37.445;4
37.860;1
38.275;2
38.690;3
39.105;4
39.520;1
39.930;2
40.340;3
40.750;4
41.160;1
41.560;2
41.960;3
42.395;4
42.830;1
43.230;2
43.630;3
44.030;4
44.430;1
44.855;2
45.280;3
45.710;4
46.140;1
46.570;2
47.000;3
47.435;4
47.870;1
48.270;2
48.670;3
49.070;4
49.470;1
49.880;2
50.290;3
50.705;4
51.120;1
51.540;2
51.960;3
52.380;4
52.800;1
53.200;2
53.600;3
54.010;4
54.420;1
54.860;2
55.300;3
55.740;4
56.180;1
56.615;2
57.050;3
57.475;4
57.900;1
58.290;2
58.680;3
59.060;4
59.440;1
59.875;2
60.310;3
60.745;4
61.180;1
61.595;2
62.010;3
62.425;4
62.840;1
63.235;2
63.630;3
64.035;4
64.440;1
64.840;2
65.240;3
65.640;4
66.040;1
66.440;2
66.840;3
67.240;4
67.640;1
68.040;2
68.440;3
68.840;4
69.240;1
69.640;2
70.040;3
70.440;4
70.840;1
71.240;2
71.640;3
72.040;4
72.440;1
72.840;2
73.240;3
73.640;4
74.040;1
74.440;2
74.840;3
75.240;4
75.640;1
76.040;2
76.440;3
76.840;4
77.240;1
77.640;2
78.040;3
78.440;4
78.840;1
79.240;2
79.640;3
80.040;4
80.440;1
80.840;2
81.240;3
81.640;4
82.040;1
82.440;2
82.840;3
83.240;4
83.640;1
84.040;2
84.440;3
84.840;4
85.240;1
85.640;2
86.040;3
86.440;4
86.840;1
87.240;2
87.640;3
88.040;4
88.440;1
88.840;2
89.240;3
89.640;4
90.040;1
90.440;2
90.840;3
91.240;4
91.640;1
92.040;2
92.440;3
92.840;4
93.240;1
93.640;2
94.040;3
94.440;4
94.840;1
95.240;2
95.640;3
96.040;4
96.440;1
96.840;2
97.240;3
97.640;4
98.040;1
98.440;2
98.840;3
99.240;4
99.640;1
100.040;2
100.440;3
100.840;4
101.240;1
101.640;2
102.040;3
102.440;4
102.840;1
103.240;2
103.640;3
104.040;4
104.440;1
104.840;2
105.240;3
105.640;4
106.040;1
106.440;2
106.840;3
107.240;4
107.640;1
108.040;2
108.440;3
108.840;4
109.240;1
109.640;2
110.040;3
110.440;4
110.840;1
111.240;2
111.640;3
112.040;4
112.440;1
112.840;2
113.240;3
113.640;4
114.040;1
114.440;2
114.840;3
115.240;4
115.640;1
116.070;2
116.500;3
116.910;4
117.320;1
117.720;2
118.120;3
118.525;4
118.930;1
119.335;2
119.740;3
120.140;4
120.540;1
120.950;2
121.360;3
121.790;4
122.220;1
122.625;2
123.030;3
123.435;4
123.840;1
124.270;2
124.700;3
125.135;4
125.570;1
125.985;2
126.400;3
126.820;4
127.240;1
127.655;2
128.070;3
128.490;4
128.910;1
129.330;2
129.750;3
130.150;4
130.550;1
130.955;2
131.360;3
131.770;4
132.180;1
132.605;2
133.030;3
133.430;4
133.830;1
134.235;2
134.640;3
135.045;4
135.450;1
135.850;2
136.250;3
136.655;4
137.060;1
137.510;2
137.960;3
138.390;4
138.820;1
139.245;2
139.670;3
140.075;4
140.480;1
140.900;2
141.320;3
141.745;4
142.170;1
142.580;2
142.990;3
143.405;4
143.820;1
144.220;2
144.620;3
145.020;4
145.420;1
145.845;2
146.270;3
146.695;4
147.120;1
147.545;2
147.970;3
148.395;4
148.820;1
149.210;2
149.600;3
149.990;4
150.380;1
150.800;2
151.220;3
151.640;4
152.060;1
152.490;2
152.920;3
153.350;4
153.780;1
154.185;2
154.590;3
155.000;4
155.410;1
155.820;2
156.230;3
156.645;4
157.060;1
157.485;2
157.910;3
158.335;4
158.760;1
159.145;2
159.530;3
159.940;4
160.350;1
160.745;2
161.140;3
161.560;4
161.980;1
