RWCID;CollID;PieceNo;CDNo;TrackNo;Title;Artist;SingerInformation;SingingLanguage;Tempo;Variation;LiveInstruments;DrumInformation;Composer;CompositionType;GenreMain;GenreSub;audio_start;audio_end;duration
RWC_P001;P;1;1;1;Eien no replica;Kazuo Nishi;Male;Japanese;135.0;;Gt;Drum sequences;;;Popular;J-pop;0.0236;204.4778;207.16829931972788
RWC_P002;P;2;1;2;Magic in your eyes;Hiromi Yoshii;Female;Japanese;100.0;;Gt, Bs;Drum sequences;;;Popular;J-pop;0.0156;216.8918;220.66913832199543
RWC_P003;P;3;1;3;HORO;MIT;Vocal group (1 male + 1 female);Japanese;111.0;;;Drum sequences;;;Popular;J-pop;0.4759;190.2527;193.32548752834467
RWC_P004;P;4;1;4;Spice of Life;Hisayoshi Kazato;Male;Japanese;86.0;;Gt;Drum sequences;;;Popular;J-pop;0.0164;237.1454;240.46739229024945
RWC_P005;P;5;1;5;Koino Ver.2.4;Eves;Vocal group (4 female);Japanese;135.0;;Gt;Drum sequences;;;Popular;J-pop;0.058;223.7098;226.0788662131519
RWC_P006;P;6;1;6;Funky Life;Oriken;Male;Japanese;120.0;;Gt;Drum sequences;;;Popular;J-pop;0.0152;202.8551;204.5380498866213
RWC_P007;P;7;1;7;PROLOGUE;Tomomi Ogata;Female;Japanese;122.0;;Gt;Drum sequences;;;Popular;J-pop;0.0631;294.638;296.6453514739229
RWC_P008;P;8;1;8;Jinsei konnamono;fevers;Vocal group (2 female);Japanese;127.0;;Gt, Bs;Drum sequences;;;Popular;J-pop;0.0253;187.0716;190.15759637188208
RWC_P009;P;9;1;9;Doukoku;Kazuo Nishi;Male;Japanese;70.0;;Gt, Bs, Dr;Live drums;;;Popular;J-pop;0.0165;271.3041;275.0001360544218
RWC_P010;P;10;1;10;Getting Over;Brakes;Vocal group (3 female);Japanese;125.0;;Gt;Drum sequences;;;Popular;J-pop;0.016;211.2435;213.6621768707483
RWC_P011;P;11;1;11;Ienai;Hisayoshi Kazato;Male;Japanese;90.0;;Gt;Drum sequences;;;Popular;J-pop;2.5484;263.6653;265.89238095238096
RWC_P012;P;12;1;12;KAGE-ROU;Kazuo Nishi;Male;Japanese;120.0;;Gt, Bs;Drum sequences;;;Popular;J-pop;0.0105;201.079;202.83331065759637
